Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
RZ-015HX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,270,37,13.2,0.6,5.36,3.92,0.061,2.161,0.24,0.042,50.04,0.181,ZG,55.59444,63.24,51.45238095,11.78761905,55.59429762
RZ-015I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,36,12.9,0.5,10.13,1.38,0.201,2.551,0.21,0.117,20.14,0.098,ZG,27.71264,33.04,21.8034188,11.2365812,27.81026068
RZ-015JI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,180,46,16.1,0.7,8.16,3.97,0.061,2.161,0.22,0.027,77.84,0.272,ZH,86.48024,93.94,80.03703704,13.90296296,86.48001852
RZ-015JX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,270,46,16.1,0.7,8.24,3.93,0.061,2.161,0.22,0.027,78.63,0.274,ZH,87.35793,94.73,80.03703704,14.69296296,86.48001852
RZ-015KI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,180,58,20.9,0.7,12.96,3.97,0.061,2.161,0.2,0.017,125.5,0.427,ZH,139.4305,146.4,127.1176471,19.28235294,137.3506176
RZ-015KX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,270,58,20.9,0.7,13.04,3.93,0.061,2.161,0.2,0.017,126.29,0.429,ZH,140.30819,147.19,127.1176471,20.07235294,137.3506176
RZ-015LI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,180,71,27.3,0.9,19.36,3.97,0.061,2.161,0.19,0.011,189.04,0.634,ZH,210.02344,216.34,196.4545455,19.88545455,212.2691364
RZ-015LX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,270,71,27.3,0.9,19.44,3.93,0.061,2.161,0.19,0.011,189.83,0.636,ZH,210.90113,217.13,196.4545455,20.67545455,212.2691364
RZ-015X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,36,12.9,0.5,10.19,1.35,0.201,2.551,0.21,0.116,20.26,0.099,ZG,27.87776,33.16,21.99137931,11.16862069,28.05000431
RZ-016I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,180,25,10,0.6,4,3,0.141,2.731,0.29,0.125,20.78,0.106,ZG,29.84008,30.78,21.848,8.932,29.833444
RZ-016X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,270,26,10,0.6,4.08,2.96,0.141,2.731,0.29,0.122,21.23,0.108,ZG,30.48628,31.23,22.3852459,8.844754098,30.56705328
RZ-017I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,180,37,14.2,0.6,8.16,3.02,0.141,2.731,0.24,0.059,44.26,0.21,ZG,63.55736,58.46,46.28813559,12.17186441,63.20644915
RZ-017X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,270,37,14.2,0.6,8.24,2.98,0.141,2.731,0.24,0.058,44.71,0.212,ZG,64.20356,58.91,47.0862069,11.8237931,64.29621552
RZ-018AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,180,55,23.5,0.7,17.44,3.03,0.141,2.731,0.21,0.027,96.65,0.442,ZH,138.7894,120.15,101.1481481,19.00185185,138.1177963
RZ-018AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,270,55,23.5,0.7,17.52,2.99,0.141,2.731,0.21,0.027,97.11,0.444,ZH,139.44996,120.61,101.1481481,19.46185185,138.1177963
RZ-018I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,180,47,19,0.7,12.96,3.02,0.141,2.731,0.22,0.036,71.36,0.33,ZH,102.47296,90.36,75.86111111,14.49888889,103.5883472
RZ-018X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,4.32,0.2,5,270,47,19,0.7,13.04,2.98,0.141,2.731,0.22,0.036,71.81,0.332,ZH,103.11916,90.81,75.86111111,14.94888889,103.5883472
RZ-019I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,22,8.7,0.6,4,2.35,0.181,3.331,0.33,0.243,12.92,0.085,ZG,22.68752,21.62,13.70781893,7.91218107,22.83037243
RZ-019X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,22,8.7,0.6,4.08,2.31,0.181,3.331,0.33,0.238,13.2,0.086,ZG,23.1792,21.9,13.99579832,7.904201681,23.3100021
RZ-020I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,32,12.9,0.6,8.16,2.37,0.181,3.331,0.27,0.114,27.53,0.168,ZG,48.34268,40.43,29.21929825,11.21070175,48.66474123
RZ-020X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,32,12.9,0.6,8.24,2.33,0.181,3.331,0.27,0.113,27.81,0.169,ZG,48.83436,40.71,29.47787611,11.23212389,49.09540265
RZ-021AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,44,20,0.7,15.2,2.4,0.181,3.331,0.24,0.06,52.26,0.309,ZG,91.76856,72.26,55.51666667,16.74333333,92.46300833
RZ-021AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,44,20,0.7,15.28,2.36,0.181,3.331,0.24,0.06,52.54,0.31,ZG,92.26024,72.54,55.51666667,17.02333333,92.46300833
RZ-021BI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,47,21.9,0.37,17.12,2.39,0.181,3.331,0.24,0.053,59,0.347,ZG,103.604,80.9,62.8490566,18.0509434,104.6751038
RZ-021BX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,47,21.9,0.7,17.2,2.35,0.181,3.331,0.24,0.053,59.4,0.348,ZG,104.3064,81.3,62.8490566,18.4509434,104.6751038
RZ-021CI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,51,24.8,0.7,20,2.4,0.181,3.331,0.23,0.045,69.11,0.404,ZG,121.35716,93.91,74.02222222,19.88777778,123.2840111
RZ-021CX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,51,24.8,0.7,20.08,2.36,0.181,3.331,0.23,0.045,69.39,0.406,ZG,121.84884,94.19,74.02222222,20.16777778,123.2840111
RZ-021DI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,54,27.3,0.9,22.56,2.37,0.181,3.331,0.23,0.04,78.1,0.456,ZG,137.1436,105.4,83.275,22.125,138.6945125
RZ-021DX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,54,27.3,0.9,22.64,2.33,0.181,3.331,0.23,0.04,78.38,0.457,ZG,137.63528,105.68,83.275,22.405,138.6945125
RZ-021EI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,57,29.9,0.9,25.12,2.39,0.181,3.331,0.23,0.036,87.09,0.507,ZH,152.93004,116.99,92.52777778,24.46222222,154.1050139
RZ-021EX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,57,29.9,0.9,25.2,2.35,0.181,3.331,0.23,0.036,87.37,0.508,ZH,153.42172,117.27,92.52777778,24.74222222,154.1050139
RZ-021I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,180,41,17.7,0.7,12.96,2.37,0.181,3.331,0.25,0.071,44.39,0.264,ZG,77.94884,62.09,46.91549296,15.17450704,78.13775352
RZ-021X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,3.52,0.2,4.2,270,41,17.7,0.7,13.04,2.33,0.181,3.331,0.25,0.07,44.67,0.265,ZG,78.44052,62.37,47.58571429,14.78428571,79.25400714
RZ-022I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,19,7.6,0.5,4,1.8,0.251,4.111,0.43,0.511,7.55,0.066,ZG,16.46655,15.15,8.045009785,7.104990215,16.53651761
RZ-022X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,20,7.6,0.5,4.08,1.76,0.251,4.111,0.43,0.5,7.72,0.067,ZG,16.83732,15.32,8.222,7.098,16.900321
RZ-023I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,28,11.8,0.5,8.16,1.82,0.251,4.111,0.35,0.24,16.09,0.131,ZG,35.09229,27.89,17.12916667,10.76083333,35.20900208
RZ-023X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,29,11.8,0.5,8.24,1.78,0.251,4.111,0.35,0.237,16.26,0.132,ZG,35.46306,28.06,17.34599156,10.71400844,35.65468565
RZ-024AAI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,180,22,8.9,0.5,5.94,1.48,0.611,6.421,0.75,0.968,6.01,0.093,ZG,21.13116,14.91,6.633264463,8.276735537,21.29609556
RZ-024AAX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,270,22,8.9,0.5,6.03,1.43,0.611,6.421,0.75,0.952,6.1,0.095,ZG,21.4476,15,6.744747899,8.255252101,21.65401313
RZ-024ABI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,180,27,12.2,0.5,9.18,1.51,0.611,6.421,0.68,0.612,9.49,0.142,ZH,33.36684,21.69,10.49183007,11.19816993,33.68402042
RZ-024ABX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,270,27,12.2,0.5,9.27,1.46,0.611,6.421,0.67,0.606,9.59,0.143,ZH,33.71844,21.79,10.59570957,11.19429043,34.01752558
RZ-024ACI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,180,34,17.6,0.6,14.58,1.51,0.611,6.421,0.62,0.38,15.31,0.223,ZH,53.82996,32.91,16.89736842,16.01263158,54.24900132
RZ-024ACX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,270,35,17.6,0.6,14.67,1.46,0.611,6.421,0.62,0.377,15.4,0.225,ZH,54.1464,33,17.03183024,15.96816976,54.68069098
RZ-024ADI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,180,42,24.8,0.6,21.78,1.51,0.611,6.421,0.58,0.252,23.06,0.331,ZH,81.07896,47.86,25.48015873,22.37984127,81.8040496
RZ-024ADX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,2.5,0.1,3.2,270,42,24.8,0.6,21.87,1.46,0.611,6.421,0.58,0.251,23.15,0.333,ZH,81.3954,47.95,25.58167331,22.36832669,82.12996215
RZ-024AEI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,180,23,12.7,0.6,2.6,5.05,0.121,3.251,0.53,0.142,22.11,0.149,ZG,37.27746,34.81,22.8943662,11.9156338,37.21479225
RZ-024AEX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,270,23,12.7,0.6,2.7,5,0.121,3.251,0.51,0.136,23.12,0.155,ZG,38.98032,35.82,23.90441176,11.91558824,38.85662132
RZ-024AFI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,180,29,14.3,0.6,4.2,5.05,0.121,3.251,0.41,0.082,38.19,0.232,ZH,64.38834,52.49,39.64634146,12.84365854,64.44512805
RZ-024AFX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,270,29,14.3,0.6,4.3,5,0.121,3.251,0.41,0.08,39.2,0.237,ZH,66.0912,53.5,40.6375,12.8625,66.05625625
RZ-024AGI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,180,37,16.7,0.7,6.6,5.05,0.121,3.251,0.35,0.05,62.31,0.355,ZH,105.05466,79.01,65.02,13.99,105.69001
RZ-024AGX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,270,37,16.7,0.7,6.7,5,0.121,3.251,0.35,0.05,63.32,0.36,ZH,106.75752,80.02,65.02,15,105.69001
RZ-024AHI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,180,47,20.3,0.7,10.2,5.05,0.121,3.251,0.32,0.032,98.5,0.541,ZH,166.071,118.8,101.59375,17.20625,165.1406406
RZ-024AHX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,270,47,20.3,0.7,10.3,5,0.121,3.251,0.31,0.032,99.56,0.546,ZH,167.85816,119.86,101.59375,18.26625,165.1406406
RZ-024AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,39,18.9,0.6,15.2,1.85,0.251,4.111,0.31,0.126,30.55,0.241,ZG,66.62955,49.45,32.62698413,16.82301587,67.06476587
RZ-024AJI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,180,59,26.3,0.9,16.2,5.05,0.121,3.251,0.29,0.02,158.8,0.85,ZH,267.7368,185.1,162.55,22.55,264.225025
RZ-024AJX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,270,59,26.3,0.9,16.3,5,0.121,3.251,0.29,0.02,159.8,0.855,ZH,269.4228,186.1,162.55,23.55,264.225025
RZ-024AKI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,180,73,34.3,0.9,24.2,5.05,0.121,3.251,0.27,0.013,239.2,1.262,ZJ,403.2912,273.5,250.0769231,23.42307692,406.5000385
RZ-024AKX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.4,7,0.35,8,270,73,34.3,0.9,24.3,5,0.121,3.251,0.27,0.013,240.21,1.267,ZJ,404.99406,274.51,250.0769231,24.43307692,406.5000385
RZ-024AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,39,18.9,0.6,15.28,1.81,0.251,4.111,0.31,0.126,30.71,0.242,ZG,66.97851,49.61,32.62698413,16.98301587,67.06476587
RZ-024BI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,42,21.1,0.6,17.44,1.83,0.251,4.111,0.31,0.11,35.14,0.276,ZG,76.64034,56.24,37.37272727,18.86727273,76.81964091
RZ-024BX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,42,21.1,0.6,17.52,1.79,0.251,4.111,0.31,0.109,35.31,0.277,ZG,77.01111,56.41,37.71559633,18.69440367,77.52440826
RZ-024CI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,45,23.7,0.6,20,1.85,0.251,4.111,0.3,0.096,40.4,0.316,ZG,88.1124,64.1,42.82291667,21.27708333,88.02250521
RZ-024CX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,45,23.7,0.6,20.08,1.81,0.251,4.111,0.3,0.095,40.56,0.317,ZG,88.46136,64.26,43.27368421,20.98631579,88.94905789
RZ-024DI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,48,26.2,0.8,22.56,1.82,0.251,4.111,0.3,0.085,45.65,0.356,ZH,99.56265,71.85,48.36470588,23.48529412,99.41365294
RZ-024DX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,48,26.2,0.8,22.64,1.78,0.251,4.111,0.3,0.084,45.82,0.357,ZH,99.93342,72.02,48.94047619,23.07952381,100.5971488
RZ-024EI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,51,28.8,0.8,25.12,1.84,0.251,4.111,0.3,0.076,50.91,0.396,ZH,111.03471,79.71,54.09210526,25.61789474,111.1863224
RZ-024EX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,51,28.8,0.8,25.2,1.8,0.251,4.111,0.3,0.075,51.07,0.397,ZH,111.38367,79.87,54.81333333,25.05666667,112.6688067
RZ-024FI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,180,13,4.7,0.5,2.08,1.31,0.351,5.171,0.95,2.511,1.92,0.027,ZG,5.30112,6.62,2.059338909,4.560661091,5.324420749
RZ-024FX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,270,14,4.7,0.5,2.16,1.27,0.351,5.171,0.93,2.401,2.01,0.028,ZG,5.54961,6.71,2.153685964,4.556314036,5.56835506
RZ-024GI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,180,17,6,0.5,3.36,1.32,0.351,5.171,0.74,1.454,3.32,0.042,ZG,9.16652,9.32,3.556396149,5.763603851,9.195062242
RZ-024GX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,270,17,6,0.5,3.44,1.28,0.351,5.171,0.74,1.416,3.4,0.043,ZZ,9.3874,9.4,3.651836158,5.748163842,9.441822387
RZ-024HI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,180,22,7.9,0.5,5.28,1.31,0.351,5.171,0.63,0.891,5.41,0.065,ZG,14.93701,13.31,5.80359147,7.50640853,15.00518575
RZ-024HX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,270,22,7.9,0.5,5.36,1.27,0.351,5.171,0.63,0.877,5.5,0.066,ZG,15.1855,13.4,5.896237172,7.503762828,15.24472121
RZ-024I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,180,36,16.6,0.6,12.96,1.82,0.251,4.111,0.32,0.149,25.95,0.206,ZG,56.59695,42.55,27.59060403,14.95939597,56.71248658
RZ-024JI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,180,27,10.8,0.5,8.16,1.32,0.351,5.171,0.56,0.564,8.55,0.099,ZG,23.60655,19.35,9.168439716,10.18156028,23.70500089
RZ-024JX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,270,27,10.8,0.5,8.24,1.28,0.351,5.171,0.56,0.558,8.64,0.1,ZG,23.85504,19.44,9.26702509,10.17297491,23.95989337
RZ-024KI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,180,34,15.6,0.5,12.96,1.32,0.351,5.171,0.51,0.35,13.79,0.155,ZG,38.07419,29.39,14.77428571,14.61571429,38.19891571
RZ-024KX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,270,34,15.6,0.5,13.04,1.28,0.351,5.171,0.51,0.347,13.87,0.156,ZG,38.29507,29.47,14.90201729,14.56798271,38.52916571
RZ-024LI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,180,42,22,0.6,19.36,1.32,0.351,5.171,0.48,0.232,20.77,0.23,ZG,57.34597,42.77,22.2887931,20.4812069,57.62767457
RZ-024LX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.2,0.1,2.8,270,42,22,0.6,19.44,1.28,0.351,5.171,0.48,0.231,20.85,0.231,ZG,57.56685,42.85,22.38528139,20.46471861,57.87714502
RZ-024MI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,180,22,11,0.6,2.34,4.33,0.131,2.791,0.45,0.149,17.84,0.103,ZG,26.06424,28.84,18.73154362,10.10845638,26.13986913
RZ-024MX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,270,22,11,0.6,2.43,4.28,0.131,2.791,0.44,0.142,18.65,0.107,ZG,27.24765,29.65,19.65492958,9.995070423,27.42845423
RZ-024NI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,180,28,12.4,0.6,3.78,4.31,0.131,2.791,0.35,0.086,30.81,0.16,ZG,45.01341,43.21,32.45348837,10.75651163,45.28884302
RZ-024NX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,270,28,12.4,0.6,3.87,4.26,0.131,2.791,0.35,0.084,31.62,0.164,ZG,46.19682,44.02,33.22619048,10.79380952,46.36714881
RZ-024OI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,180,35,14.6,0.6,5.94,4.33,0.131,2.791,0.3,0.053,50.27,0.246,ZG,73.44447,64.87,52.66037736,12.20962264,73.4875566
RZ-024OX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,270,36,14.6,0.6,6.03,4.28,0.131,2.791,0.3,0.052,51.09,0.25,ZG,74.64249,65.69,53.67307692,12.01692308,74.90077885
RZ-024PI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,180,44,17.8,0.7,9.18,4.31,0.131,2.791,0.27,0.033,79.47,0.374,ZH,116.10567,97.27,84.57575758,12.69424242,118.0254697
RZ-024PX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,270,45,17.8,0.7,9.27,4.26,0.131,2.791,0.27,0.033,80.28,0.378,ZH,117.28908,98.08,84.57575758,13.50424242,118.0254697
RZ-024QI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,180,56,23.2,0.7,14.58,4.31,0.131,2.791,0.24,0.021,128.12,0.588,ZE,187.18332,151.32,132.9047619,18.4152381,185.4685952
RZ-024QX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,270,57,23.2,0.7,14.67,4.26,0.131,2.791,0.24,0.021,128.93,0.592,ZH,188.36673,152.13,132.9047619,19.2252381,185.4685952
RZ-024RI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,180,69,30.4,0.9,21.78,4.31,0.131,2.791,0.23,0.014,192.99,0.874,ZH,281.95839,223.39,199.3571429,24.03285714,278.2028929
RZ-024RX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,6,0.3,6.9,270,69,30.4,0.9,21.87,4.26,0.131,2.791,0.23,0.014,193.8,0.877,ZH,283.1418,224.2,199.3571429,24.84285714,278.2028929
RZ-024SI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,180,16,7.7,0.6,2.34,2.68,0.191,4.131,0.53,0.554,7.11,0.067,ZG,15.36471,14.81,7.4566787,7.3533213,15.40176986
RZ-024SX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,270,16,7.7,0.6,2.43,2.63,0.191,4.131,0.53,0.53,7.43,0.069,ZG,16.05623,15.13,7.794339623,7.335660377,16.09920849
RZ-024TI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,180,20,9.2,0.6,3.78,2.71,0.191,4.131,0.43,0.321,12.28,0.103,ZG,26.53708,21.48,12.86915888,8.610841121,26.58124766
RZ-024TX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,270,20,9.2,0.6,3.87,2.66,0.191,4.131,0.43,0.313,12.61,0.106,ZG,27.25021,21.81,13.19808307,8.611916933,27.26064058
RZ-024UI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,180,26,11.4,0.6,5.94,2.73,0.191,4.131,0.36,0.197,20.04,0.159,ZH,43.30644,31.44,20.96954315,10.47045685,43.31259137
RZ-024UX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,270,26,11.4,0.6,6.03,2.68,0.191,4.131,0.36,0.194,20.36,0.161,ZH,43.99796,31.76,21.29381443,10.46618557,43.98237371
RZ-024VI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,180,32,14.6,0.6,9.18,2.71,0.191,4.131,0.33,0.124,31.68,0.242,ZH,68.46048,46.28,33.31451613,12.96548387,68.81113306
RZ-024VX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,270,32,14.6,0.6,9.27,2.66,0.191,4.131,0.33,0.123,32,0.244,ZH,69.152,46.6,33.58536585,13.01463415,69.37057317
RZ-024WI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,180,41,20,0.7,14.58,2.71,0.191,4.131,0.3,0.077,51.07,0.38,ZH,110.36227,71.07,53.64935065,17.42064935,110.8127338
RZ-024WX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,270,41,20,0.7,14.67,2.66,0.191,4.131,0.3,0.077,51.4,0.382,ZH,111.0754,71.4,53.64935065,17.75064935,110.8127338
RZ-024X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,2.82,0.1,3.4,270,36,16.6,0.6,13.04,1.78,0.251,4.111,0.32,0.148,26.11,0.207,ZG,56.94591,42.71,27.77702703,14.93297297,57.09567905
RZ-024XI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.36,4,0.2,4.8,180,50,27.2,0.9,21.78,2.71,0.191,4.131,0.29,0.051,76.93,0.564,ZH,166.24573,104.13,81,23.13,167.3055
