Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
RZ-012DI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,54,21.3,0.7,17.63,1.83,0.141,2.061,0.15,0.032,61.08,0.217,ZG,67.24908,82.38,64.40625,17.97375,66.37064063
RZ-012DX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,54,21.3,0.7,17.69,1.8,0.141,2.061,0.15,0.031,61.3,0.218,ZG,67.4913,82.6,66.48387097,16.11612903,68.51162903
RZ-012EI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,57,23.3,0.7,19.63,1.83,0.141,2.061,0.15,0.028,68.11,0.242,ZG,74.98911,91.41,73.60714286,17.80285714,75.85216071
RZ-012EX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,57,23.3,0.7,19.69,1.8,0.141,2.061,0.15,0.028,68.33,0.242,ZG,75.23133,91.63,73.60714286,18.02285714,75.85216071
RZ-012I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,180,41,13.8,0.6,10.13,1.83,0.141,2.061,0.16,0.055,34.71,0.126,ZG,38.21571,48.51,37.47272727,11.03727273,38.61564545
RZ-012X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.75,0.15,3.3,270,41,13.8,0.6,10.19,1.8,0.141,2.061,0.16,0.055,34.93,0.127,ZG,38.45793,48.73,37.47272727,11.25727273,38.61564545
RZ-013I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,19,5.9,0.5,3.13,1.38,0.201,2.551,0.28,0.4,5.86,0.032,ZG,8.06336,11.76,6.3775,5.3825,8.13450125
RZ-013X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,20,5.9,0.5,3.19,1.35,0.201,2.551,0.28,0.392,5.99,0.032,ZG,8.24224,11.89,6.507653061,5.382346939,8.30051148
RZ-014I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,28,9.2,0.5,6.38,1.41,0.201,2.551,0.23,0.188,12.49,0.063,ZG,17.18624,21.69,13.56914894,8.120851064,17.30744947
RZ-014X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,29,9.2,0.5,6.44,1.38,0.201,2.551,0.23,0.186,12.62,0.063,ZG,17.36512,21.82,13.71505376,8.104946237,17.49355108
RZ-015AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,39,14.7,0.5,11.88,1.41,0.201,2.551,0.2,0.099,23.71,0.115,ZG,32.62496,38.41,25.76767677,12.64232323,32.86667172
RZ-015AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,39,14.7,0.5,11.94,1.38,0.201,2.551,0.2,0.099,23.83,0.115,ZG,32.79008,38.53,25.76767677,12.76232323,32.86667172
RZ-015BI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,42,16.4,0.6,13.63,1.38,0.201,2.551,0.2,0.086,27.27,0.131,ZG,37.52352,43.67,29.6627907,14.0072093,37.83488953
RZ-015BX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,42,16.4,0.6,13.69,1.35,0.201,2.551,0.2,0.086,27.4,0.132,ZG,37.7024,43.8,29.6627907,14.1372093,37.83488953
RZ-015CI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,45,18.4,0.6,15.63,1.38,0.201,2.551,0.2,0.075,31.35,0.15,ZG,43.1376,49.75,34.01333333,15.73666667,43.38400667
RZ-015CX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,45,18.4,0.6,15.69,1.35,0.201,2.551,0.2,0.075,31.48,0.151,ZG,43.31648,49.88,34.01333333,15.86666667,43.38400667
RZ-015DI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,48,20.4,0.6,17.63,1.38,0.201,2.551,0.2,0.066,35.43,0.17,ZG,48.75168,55.83,38.65151515,17.17848485,49.30000758
RZ-015DX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,48,20.4,0.6,17.69,1.35,0.201,2.551,0.2,0.066,35.56,0.17,ZG,48.93056,55.96,38.65151515,17.30848485,49.30000758
RZ-015EI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,180,51,22.4,0.6,19.63,1.38,0.201,2.551,0.19,0.059,39.51,0.189,ZG,54.36576,61.91,43.23728814,18.67271186,55.14916102
RZ-015EX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,2.2,0.1,2.7,270,51,22.4,0.6,19.69,1.35,0.201,2.551,0.19,0.059,39.64,0.189,ZG,54.54464,62.04,43.23728814,18.80271186,55.14916102
RZ-015FI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,180,23,10,0.6,2.08,3.96,0.061,2.161,0.36,0.12,17.47,0.075,ZG,19.40917,27.47,18.00833333,9.461666667,19.45800417
RZ-015FX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,270,23,10,0.6,2.16,3.92,0.061,2.161,0.35,0.115,18.27,0.078,ZG,20.29797,28.27,18.79130435,9.478695652,20.30400435
RZ-015GI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,180,29,11.3,0.6,3.36,3.97,0.061,2.161,0.28,0.07,30.18,0.116,ZG,33.52998,41.48,30.87142857,10.60857143,33.35657857
RZ-015GX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,270,29,11.3,0.6,3.44,3.93,0.061,2.161,0.28,0.068,30.98,0.119,ZG,34.41878,42.28,31.77941176,10.50058824,34.33765441
RZ-015HI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.32,5.5,0.3,6.3,180,36,13.2,0.6,5.28,3.96,0.061,2.161,0.24,0.043,49.25,0.178,ZG,54.71675,62.45,50.25581395,12.19418605,54.30140698
