Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-036NX,Gutekunst,0.391,0.207,16.16624041,51.09340281,6.321,5,0.45
RZ-036OI,Gutekunst,0.246,0.31,25.69512195,81.20943293,6.321,5,0.45
RZ-036OX,Gutekunst,0.242,0.315,26.11983471,82.5517376,6.321,5,0.45
RZ-036PI,Gutekunst,0.155,0.472,40.78064516,128.887229,6.321,5,0.45
RZ-036PX,Gutekunst,0.154,0.476,41.04545455,129.7241591,6.321,5,0.45
RZ-036QI,Gutekunst,0.097,0.741,65.16494845,205.9538196,6.321,5,0.45
RZ-036QX,Gutekunst,0.096,0.746,65.84375,208.0991719,6.321,5,0.45
RZ-036RI,Gutekunst,0.064,1.101,98.765625,312.1487578,6.321,5,0.45
RZ-036RX,Gutekunst,0.064,1.106,98.765625,312.1487578,6.321,5,0.45
RZ-036SI,Gutekunst,3.131,0.079,3.069626317,14.75108927,9.611,3.2,0.45
RZ-036SX,Gutekunst,2.998,0.082,3.205803869,15.40549049,9.611,3.2,0.45
RZ-036TI,Gutekunst,1.814,0.122,5.298235943,25.46067282,9.611,3.2,0.45
RZ-036TX,Gutekunst,1.769,0.125,5.433013002,26.10834398,9.611,3.2,0.45
RZ-036UI,Gutekunst,1.114,0.187,8.627468582,41.45930027,9.611,3.2,0.45
RZ-036UX,Gutekunst,1.095,0.19,8.77716895,42.17868539,9.611,3.2,0.45
RZ-036VI,Gutekunst,0.704,0.285,13.65198864,65.60463139,9.611,3.2,0.45
RZ-036VX,Gutekunst,0.697,0.288,13.78909613,66.26350143,9.611,3.2,0.45
RZ-036WI,Gutekunst,0.437,0.448,21.99313501,105.6880103,9.611,3.2,0.45
RZ-036WX,Gutekunst,0.434,0.451,22.14516129,106.4185726,9.611,3.2,0.45
RZ-036X,Gutekunst,0.361,0.324,20.91689751,78.97174654,7.551,2.9,0.4
RZ-036X-01I,Gutekunst,0.098,0.382,44.39795918,96.5877602,4.351,10,0.5
RZ-036X-01X,Gutekunst,0.094,0.394,46.28723404,100.6978777,4.351,10,0.5
RZ-036XI,Gutekunst,0.29,0.665,33.14137931,159.2608983,9.611,3.2,0.45
RZ-036XX,Gutekunst,0.289,0.668,33.25605536,159.811974,9.611,3.2,0.45
RZ-037I,Gutekunst,0.19,0.407,33.42631579,106.1452658,6.351,6.8,0.5
RZ-037X,Gutekunst,0.186,0.415,34.14516129,108.4279597,6.351,6.8,0.5
RZ-038I,Gutekunst,0.089,0.807,71.35955056,226.6022528,6.351,6.8,0.5
RZ-038X,Gutekunst,0.088,0.815,72.17045455,229.1772784,6.351,6.8,0.5
RZ-039AI,Gutekunst,0.041,1.698,154.902439,491.8926951,6.351,6.8,0.5
RZ-039AX,Gutekunst,0.041,1.706,154.902439,491.8926951,6.351,6.8,0.5
RZ-039I,Gutekunst,0.055,1.268,115.4727273,366.6836455,6.351,6.8,0.5
RZ-039X,Gutekunst,0.055,1.276,115.4727273,366.6836455,6.351,6.8,0.5
RZ-040AI,Gutekunst,0.35,0.347,22.23142857,86.49137286,7.781,5.5,0.5
RZ-040AX,Gutekunst,0.343,0.354,22.6851312,88.25650292,7.781,5.5,0.5
RZ-040I,Gutekunst,0.38,0.323,20.47631579,79.66310658,7.781,5.5,0.5
RZ-040X,Gutekunst,0.372,0.33,20.91666667,81.37629167,7.781,5.5,0.5
RZ-041I,Gutekunst,0.179,0.64,43.46927374,169.1172095,7.781,5.5,0.5
RZ-041X,Gutekunst,0.177,0.646,43.96045198,171.0281384,7.781,5.5,0.5
RZ-042AI,Gutekunst,0.094,1.177,82.77659574,322.0423457,7.781,5.5,0.5
RZ-042AX,Gutekunst,0.094,1.183,82.77659574,322.0423457,7.781,5.5,0.5
RZ-042BI,Gutekunst,0.082,1.347,94.8902439,369.1704939,7.781,5.5,0.5
RZ-042BX,Gutekunst,0.081,1.354,96.0617284,373.7281543,7.781,5.5,0.5
RZ-042CI,Gutekunst,0.071,1.543,109.5915493,426.3659225,7.781,5.5,0.5
RZ-042CX,Gutekunst,0.071,1.549,109.5915493,426.3659225,7.781,5.5,0.5
RZ-042DI,Gutekunst,0.063,1.738,123.5079365,480.507627,7.781,5.5,0.5
RZ-042DX,Gutekunst,0.063,1.744,123.5079365,480.507627,7.781,5.5,0.5
RZ-042EI,Gutekunst,0.057,1.933,136.5087719,531.0873772,7.781,5.5,0.5
RZ-042EX,Gutekunst,0.056,1.939,138.9464286,540.5710804,7.781,5.5,0.5
RZ-042FI,Gutekunst,0.632,0.247,13.49841772,57.57750079,8.531,5,0.5
RZ-042FX,Gutekunst,0.615,0.253,13.87154472,59.16907398,8.531,5,0.5
RZ-042GI,Gutekunst,0.293,0.488,29.11604096,124.1944727,8.531,5,0.5
RZ-042GX,Gutekunst,0.289,0.494,29.51903114,125.9134273,8.531,5,0.5
RZ-042HI,Gutekunst,0.169,0.818,50.47928994,215.3194112,8.531,5,0.5
RZ-042HX,Gutekunst,0.168,0.823,50.7797619,216.6010744,8.531,5,0.5
RZ-042I,Gutekunst,0.111,1.006,70.0990991,272.720545,7.781,5.5,0.5
RZ-042JI,Gutekunst,0.141,0.971,60.5035461,258.0778759,8.531,5,0.5
RZ-042JX,Gutekunst,0.14,0.977,60.93571429,259.9212893,8.531,5,0.5
RZ-042KI,Gutekunst,0.132,1.037,64.62878788,275.6740947,8.531,5,0.5
RZ-042KX,Gutekunst,0.131,1.043,65.1221374,277.7784771,8.531,5,0.5
RZ-042LI,Gutekunst,0.093,1.454,91.7311828,391.2793602,8.531,5,0.5
RZ-042LX,Gutekunst,0.093,1.46,91.7311828,391.2793602,8.531,5,0.5
RZ-042MI,Gutekunst,0.069,1.937,123.6376812,527.376529,8.531,5,0.5
RZ-042MX,Gutekunst,0.069,1.943,123.6376812,527.376529,8.531,5,0.5
RZ-042X,Gutekunst,0.11,1.012,70.73636364,275.1998227,7.781,5.5,0.5
RZ-043AI,Gutekunst,1.139,0.18,8.271290606,38.9619144,9.421,4.5,0.5
RZ-043AX,Gutekunst,1.101,0.186,8.556766576,40.30664896,9.421,4.5,0.5
RZ-043I,Gutekunst,0.743,0.259,12.67967699,59.72761844,9.421,4.5,0.5
RZ-043X,Gutekunst,0.727,0.264,12.95873453,61.04211898,9.421,4.5,0.5
RZ-044I,Gutekunst,0.349,0.512,26.99426934,127.1565057,9.421,4.5,0.5
RZ-044X,Gutekunst,0.345,0.517,27.30724638,128.6307841,9.421,4.5,0.5
RZ-045AI,Gutekunst,0.184,0.941,51.20108696,241.1827201,9.421,4.5,0.5
RZ-045AX,Gutekunst,0.183,0.946,51.48087432,242.5006585,9.421,4.5,0.5
RZ-045BI,Gutekunst,0.16,1.078,58.88125,277.3601281,9.421,4.5,0.5
RZ-045BX,Gutekunst,0.159,1.083,59.25157233,279.1045314,9.421,4.5,0.5
RZ-045CI,Gutekunst,0.139,1.234,67.77697842,319.2634568,9.421,4.5,0.5
RZ-045CX,Gutekunst,0.138,1.239,68.26811594,321.5769601,9.421,4.5,0.5
RZ-045DI,Gutekunst,0.123,1.39,76.59349593,360.7936626,9.421,4.5,0.5
RZ-045DX,Gutekunst,0.123,1.395,76.59349593,360.7936626,9.421,4.5,0.5
RZ-045E-01I,Gutekunst,1.343,0.192,7.833209233,41.20268057,10.52,4,0.5
RZ-045E-01X,Gutekunst,1.307,0.197,8.0489671,42.33756695,10.52,4,0.5
RZ-045E-02I,Gutekunst,0.69,0.346,15.24637681,80.19594203,10.52,4,0.5
RZ-045E-02X,Gutekunst,0.68,0.35,15.47058824,81.37529412,10.52,4,0.5
RZ-045EI,Gutekunst,0.11,1.546,85.64545455,403.4329136,9.421,4.5,0.5
RZ-045EX,Gutekunst,0.11,1.551,85.64545455,403.4329136,9.421,4.5,0.5
RZ-045FI,Gutekunst,0.448,0.516,23.48214286,123.5160714,10.52,4,0.5
RZ-045FX,Gutekunst,0.444,0.521,23.69369369,124.6288288,10.52,4,0.5
RZ-045GI,Gutekunst,0.331,0.687,31.78247734,167.1758308,10.52,4,0.5
RZ-045GX,Gutekunst,0.329,0.692,31.97568389,168.1920973,10.52,4,0.5
RZ-045HI,Gutekunst,0.263,0.858,40,210.4,10.52,4,0.5
RZ-045HX,Gutekunst,0.262,0.862,40.15267176,211.2030534,10.52,4,0.5
RZ-045I,Gutekunst,0.216,0.805,43.61574074,205.4519468,9.421,4.5,0.5
RZ-045JI,Gutekunst,0.186,1.199,56.55913978,297.5010753,10.52,4,0.5
RZ-045JX,Gutekunst,0.186,1.204,56.55913978,297.5010753,10.52,4,0.5
RZ-045X,Gutekunst,0.215,0.81,43.81860465,206.4075372,9.421,4.5,0.5
RZ-046I,Gutekunst,1.451,0.207,7.794624397,44.07860096,11.31,3.7,0.5
RZ-046X,Gutekunst,1.419,0.211,7.970401691,45.07262156,11.31,3.7,0.5
RZ-047I,Gutekunst,0.681,0.41,16.60792952,93.91784141,11.31,3.7,0.5
RZ-047X,Gutekunst,0.674,0.414,16.78041543,94.89324926,11.31,3.7,0.5
RZ-048AI,Gutekunst,0.359,0.753,31.50417827,178.1561281,11.31,3.7,0.5
RZ-048AX,Gutekunst,0.357,0.757,31.68067227,179.1542017,11.31,3.7,0.5
RZ-048BI,Gutekunst,0.312,0.862,36.25,204.99375,11.31,3.7,0.5
RZ-048BX,Gutekunst,0.31,0.866,36.48387097,206.3162903,11.31,3.7,0.5
RZ-048CI,Gutekunst,0.271,0.987,41.73431734,236.0075646,11.31,3.7,0.5
RZ-048CX,Gutekunst,0.27,0.991,41.88888889,236.8816667,11.31,3.7,0.5
RZ-048DI,Gutekunst,0.24,1.112,47.125,266.491875,11.31,3.7,0.5
RZ-048DX,Gutekunst,0.239,1.116,47.32217573,267.6069038,11.31,3.7,0.5
RZ-048EI,Gutekunst,0.215,1.237,52.60465116,297.4793023,11.31,3.7,0.5
RZ-048EX,Gutekunst,0.215,1.241,52.60465116,297.4793023,11.31,3.7,0.5
RZ-048I,Gutekunst,0.422,0.644,26.80094787,151.5593602,11.31,3.7,0.5
RZ-048X,Gutekunst,0.42,0.648,26.92857143,152.2810714,11.31,3.7,0.5
RZ-049I,Gutekunst,3.043,0.162,4.488991127,30.6598094,13.66,3,0.5
RZ-049X,Gutekunst,2.976,0.165,4.590053763,31.3500672,13.66,3,0.5
RZ-050I,Gutekunst,1.429,0.32,9.55913226,65.28887334,13.66,3,0.5
RZ-050X,Gutekunst,1.414,0.323,9.660537482,65.981471,13.66,3,0.5
RZ-051AI,Gutekunst,0.722,0.613,18.91966759,129.2213296,13.66,3,0.5
RZ-051AX,Gutekunst,0.718,0.616,19.02506964,129.9412256,13.66,3,0.5
RZ-051BI,Gutekunst,0.631,0.698,21.6481775,147.8570523,13.66,3,0.5
RZ-051BX,Gutekunst,0.628,0.701,21.75159236,148.5633758,13.66,3,0.5
RZ-051CI,Gutekunst,0.551,0.796,24.79128857,169.3245009,13.66,3,0.5
RZ-051CX,Gutekunst,0.549,0.799,24.88160291,169.9413479,13.66,3,0.5
RZ-051DI,Gutekunst,0.489,0.893,27.93456033,190.793047,13.66,3,0.5
RZ-051DX,Gutekunst,0.488,0.896,27.99180328,191.1840164,13.66,3,0.5
RZ-051E-01I,Gutekunst,4.714,0.159,3.385659737,27.0175647,15.96,2.5,0.5
RZ-051E-01X,Gutekunst,4.631,0.161,3.446339883,27.50179227,15.96,2.5,0.5
RZ-051E-02I,Gutekunst,3.335,0.217,4.785607196,38.18914543,15.96,2.5,0.5
RZ-051E-02X,Gutekunst,3.293,0.22,4.846644397,38.67622229,15.96,2.5,0.5
RZ-051E-03I,Gutekunst,2.399,0.295,6.652771988,53.08912047,15.96,2.5,0.5
RZ-051E-03X,Gutekunst,2.377,0.298,6.714345814,53.5804796,15.96,2.5,0.5
RZ-051E-04I,Gutekunst,1.823,0.383,8.754799781,69.86330225,15.96,2.5,0.5
RZ-051E-04X,Gutekunst,1.81,0.385,8.817679558,70.36508287,15.96,2.5,0.5
RZ-051E-20I,Gutekunst,0.76,0.266,12.40921053,58.51563224,9.431,6,0.55
RZ-051E-20X,Gutekunst,0.733,0.273,12.86630286,60.67105116,9.431,6,0.55
RZ-051EI,Gutekunst,0.44,0.991,31.04545455,212.0404545,13.66,3,0.5
RZ-051EX,Gutekunst,0.439,0.994,31.11617312,212.5234624,13.66,3,0.5
RZ-051FI,Gutekunst,0.52,0.362,18.13653846,85.52284712,9.431,6,0.55
RZ-051FX,Gutekunst,0.507,0.37,18.60157791,87.71574063,9.431,6,0.55
RZ-051GI,Gutekunst,0.319,0.555,29.56426332,139.4102837,9.431,6,0.55
RZ-051GX,Gutekunst,0.314,0.563,30.03503185,141.6301927,9.431,6,0.55
RZ-051HI,Gutekunst,0.202,0.845,46.68811881,220.1578243,9.431,6,0.55
RZ-051HX,Gutekunst,0.2,0.852,47.155,222.3594025,9.431,6,0.55
RZ-051I,Gutekunst,0.886,0.503,15.41760722,105.3022573,13.66,3,0.5
RZ-051JI,Gutekunst,0.125,1.327,75.448,355.775044,9.431,6,0.55
RZ-051JX,Gutekunst,0.124,1.335,76.05645161,358.6441976,9.431,6,0.55
RZ-051KI,Gutekunst,0.083,1.97,113.626506,535.8057892,9.431,6,0.55
RZ-051KX,Gutekunst,0.083,1.978,113.626506,535.8057892,9.431,6,0.55
RZ-051LI,Gutekunst,2.051,0.229,6.733300829,46.49344222,13.81,4,0.55
RZ-051LX,Gutekunst,2.001,0.234,6.901549225,47.6551974,13.81,4,0.55
RZ-051MI,Gutekunst,1.257,0.351,10.98647574,75.86161496,13.81,4,0.55
RZ-051MX,Gutekunst,1.238,0.356,11.15508885,77.02588853,13.81,4,0.55
RZ-051NI,Gutekunst,0.796,0.535,17.34924623,119.7965452,13.81,4,0.55
RZ-051NX,Gutekunst,0.788,0.539,17.52538071,121.0127538,13.81,4,0.55
RZ-051OI,Gutekunst,0.493,0.84,28.01217039,193.4240365,13.81,4,0.55
RZ-051OX,Gutekunst,0.491,0.845,28.12627291,194.2119145,13.81,4,0.55
RZ-051PI,Gutekunst,0.328,1.247,42.10365854,290.7257622,13.81,4,0.55
RZ-051PX,Gutekunst,0.326,1.252,42.36196319,292.5093558,13.81,4,0.55
RZ-051QI,Gutekunst,3.28,0.196,4.75304878,37.05001524,15.59,3.5,0.55
RZ-051QX,Gutekunst,3.2,0.2,4.871875,37.97626563,15.59,3.5,0.55
RZ-051RI,Gutekunst,2.011,0.3,7.752362009,60.42966186,15.59,3.5,0.55
RZ-051RX,Gutekunst,1.981,0.305,7.869762746,61.34480061,15.59,3.5,0.55
RZ-051SI,Gutekunst,1.273,0.457,12.24666143,95.46272584,15.59,3.5,0.55
RZ-051SX,Gutekunst,1.26,0.461,12.37301587,96.44765873,15.59,3.5,0.55
RZ-051TI,Gutekunst,0.789,0.718,19.75918885,154.0228771,15.59,3.5,0.55
RZ-051TX,Gutekunst,0.785,0.722,19.85987261,154.807707,15.59,3.5,0.55
RZ-051UI,Gutekunst,7.392,0.149,2.556818182,24.16193182,18.9,2.8,0.55
RZ-051UX,Gutekunst,7.213,0.153,2.620268959,24.76154166,18.9,2.8,0.55
RZ-051VI,Gutekunst,4.532,0.229,4.170344219,39.40975287,18.9,2.8,0.55
RZ-051VX,Gutekunst,4.464,0.232,4.233870968,40.01008065,18.9,2.8,0.55
RZ-051WI,Gutekunst,2.868,0.349,6.589958159,62.2751046,18.9,2.8,0.55
RZ-051WX,Gutekunst,2.841,0.352,6.652587117,62.86694826,18.9,2.8,0.55
RZ-051X,Gutekunst,0.88,0.506,15.52272727,106.0202273,13.66,3,0.5
RZ-051XI,Gutekunst,1.779,0.548,10.62394604,100.3962901,18.9,2.8,0.55
RZ-051XX,Gutekunst,1.769,0.551,10.68400226,100.9638214,18.9,2.8,0.55
RZ-051YI,Gutekunst,1.181,0.814,16.00338696,151.2320068,18.9,2.8,0.55
RZ-051YX,Gutekunst,1.177,0.817,16.057774,151.7459643,18.9,2.8,0.55
RZ-052I,Gutekunst,0.237,0.818,41.60759494,205.1462468,9.861,8.6,0.63
RZ-052X,Gutekunst,0.232,0.833,42.50431034,209.5675022,9.861,8.6,0.63
RZ-053I,Gutekunst,0.111,1.621,88.83783784,438.0149595,9.861,8.6,0.63
RZ-053X,Gutekunst,0.11,1.635,89.64545455,441.9969136,9.861,8.6,0.63
RZ-054AI,Gutekunst,0.051,3.41,193.3529412,953.3266765,9.861,8.6,0.63
RZ-054AX,Gutekunst,0.051,3.425,193.3529412,953.3266765,9.861,8.6,0.63
RZ-054I,Gutekunst,0.069,2.546,142.9130435,704.6327609,9.861,8.6,0.63
RZ-054X,Gutekunst,0.069,2.561,142.9130435,704.6327609,9.861,8.6,0.63
RZ-055AI,Gutekunst,0.745,0.45,16.36241611,99.72892617,12.19,6.9,0.63
RZ-055AX,Gutekunst,0.722,0.461,16.88365651,102.9058864,12.19,6.9,0.63
RZ-055I,Gutekunst,0.486,0.644,25.08230453,152.8766461,12.19,6.9,0.63
RZ-055X,Gutekunst,0.476,0.655,25.6092437,156.0883403,12.19,6.9,0.63
RZ-056I,Gutekunst,0.228,1.275,53.46491228,325.8686404,12.19,6.9,0.63
RZ-056X,Gutekunst,0.226,1.286,53.9380531,328.7524336,12.19,6.9,0.63
RZ-057AI,Gutekunst,0.12,2.343,101.5833333,619.1504167,12.19,6.9,0.63
RZ-057AX,Gutekunst,0.12,2.355,101.5833333,619.1504167,12.19,6.9,0.63
RZ-057BI,Gutekunst,0.105,2.683,116.0952381,707.6004762,12.19,6.9,0.63
RZ-057BX,Gutekunst,0.104,2.694,117.2115385,714.4043269,12.19,6.9,0.63
RZ-057CI,Gutekunst,0.091,3.071,133.956044,816.4620879,12.19,6.9,0.63
RZ-057CX,Gutekunst,0.091,3.083,133.956044,816.4620879,12.19,6.9,0.63
RZ-057DI,Gutekunst,0.081,3.46,150.4938272,917.2598765,12.19,6.9,0.63
RZ-057DX,Gutekunst,0.08,3.471,152.375,928.725625,12.19,6.9,0.63
RZ-057E-01I,Gutekunst,0.388,0.933,34.27835052,227.9510309,13.3,6.3,0.63
RZ-057E-01X,Gutekunst,0.383,0.944,34.72584856,230.926893,13.3,6.3,0.63
RZ-057E-10I,Gutekunst,0.256,1.518,54.4140625,378.9939453,13.93,6,0.63
RZ-057E-10X,Gutekunst,0.258,1.508,53.99224806,376.0560078,13.93,6,0.63
RZ-057E-11I,Gutekunst,0.179,2.141,77.82122905,542.0248603,13.93,6,0.63
RZ-057E-11X,Gutekunst,0.18,2.131,77.38888889,539.0136111,13.93,6,0.63
RZ-057E-12I,Gutekunst,0.135,2.807,103.1851852,718.6848148,13.93,6,0.63
RZ-057E-12X,Gutekunst,0.136,2.797,102.4264706,713.4003676,13.93,6,0.63
RZ-057E-13I,Gutekunst,0.109,3.472,127.7981651,890.1142202,13.93,6,0.63
RZ-057E-13X,Gutekunst,0.109,3.462,127.7981651,890.1142202,13.93,6,0.63
RZ-057EAI,Gutekunst,0.72,0.538,18.47222222,122.8402778,13.3,6.3,0.63
RZ-057EAX,Gutekunst,0.704,0.549,18.89204545,125.6321023,13.3,6.3,0.63
RZ-057EI,Gutekunst,0.072,3.848,169.3055556,1031.917361,12.19,6.9,0.63
RZ-057EX,Gutekunst,0.072,3.86,169.3055556,1031.917361,12.19,6.9,0.63
RZ-057FI,Gutekunst,0.15,2.294,88.66666667,589.6333333,13.3,6.3,0.63
RZ-057FX,Gutekunst,0.149,2.305,89.26174497,593.590604,13.3,6.3,0.63
RZ-057GI,Gutekunst,0.107,3.172,124.2990654,826.588785,13.3,6.3,0.63
RZ-057GX,Gutekunst,0.107,3.183,124.2990654,826.588785,13.3,6.3,0.63
RZ-057HI,Gutekunst,0.082,4.138,162.195122,1078.597561,13.3,6.3,0.63
RZ-057HX,Gutekunst,0.082,4.149,162.195122,1078.597561,13.3,6.3,0.63
RZ-057I,Gutekunst,0.141,2.003,86.45390071,526.9365248,12.19,6.9,0.63
RZ-057JI,Gutekunst,0.068,4.928,195.5882353,1300.661765,13.3,6.3,0.63
RZ-057JX,Gutekunst,0.068,4.939,195.5882353,1300.661765,13.3,6.3,0.63
RZ-057KI,Gutekunst,0.847,0.51,16.44628099,114.5483471,13.93,6,0.63
RZ-057KX,Gutekunst,0.828,0.52,16.8236715,117.176872,13.93,6,0.63
RZ-057LI,Gutekunst,0.508,0.801,27.42125984,190.9890748,13.93,6,0.63
RZ-057LX,Gutekunst,0.502,0.811,27.74900398,193.2718127,13.93,6,0.63
RZ-057MI,Gutekunst,0.349,1.134,39.91404011,278.0012894,13.93,6,0.63
RZ-057MX,Gutekunst,0.346,1.143,40.26011561,280.4117052,13.93,6,0.63
RZ-057X,Gutekunst,0.141,2.015,86.45390071,526.9365248,12.19,6.9,0.63
RZ-058I,Gutekunst,0.976,0.51,15.23565574,113.2771004,14.87,5.6,0.63
RZ-058X,Gutekunst,0.956,0.519,15.55439331,115.6469142,14.87,5.6,0.63
RZ-059I,Gutekunst,0.458,1.011,32.46724891,241.3939956,14.87,5.6,0.63
RZ-059X,Gutekunst,0.454,1.02,32.75330396,243.520815,14.87,5.6,0.63
RZ-060AI,Gutekunst,0.241,1.857,61.70124481,458.7487552,14.87,5.6,0.63
RZ-060AX,Gutekunst,0.24,1.866,61.95833333,460.6602083,14.87,5.6,0.63
RZ-060BI,Gutekunst,0.21,2.127,70.80952381,526.4688095,14.87,5.6,0.63
RZ-060BX,Gutekunst,0.209,2.136,71.14832536,528.987799,14.87,5.6,0.63
RZ-060CI,Gutekunst,0.183,2.434,81.2568306,604.1445355,14.87,5.6,0.63
RZ-060CX,Gutekunst,0.182,2.444,81.7032967,607.464011,14.87,5.6,0.63
RZ-060DI,Gutekunst,0.155,2.858,95.93548387,713.2803226,14.87,5.6,0.63
RZ-060DX,Gutekunst,0.154,2.867,96.55844156,717.912013,14.87,5.6,0.63
RZ-060E-01I,Gutekunst,0.805,0.753,20.53416149,169.7148447,16.53,5,0.63
RZ-060E-01X,Gutekunst,0.796,0.761,20.76633166,171.6337312,16.53,5,0.63
RZ-060E-02I,Gutekunst,0.58,1.023,28.5,235.5525,16.53,5,0.63
RZ-060E-02X,Gutekunst,0.575,1.032,28.74782609,237.6007826,16.53,5,0.63
RZ-060E-03I,Gutekunst,0.452,1.295,36.57079646,302.2576327,16.53,5,0.63
RZ-060E-03X,Gutekunst,0.45,1.303,36.73333333,303.601,16.53,5,0.63
RZ-060E-04I,Gutekunst,0.315,1.836,52.47619048,433.7157143,16.53,5,0.63
RZ-060E-04X,Gutekunst,0.313,1.844,52.8115016,436.4870607,16.53,5,0.63
RZ-060E-05I,Gutekunst,0.241,2.377,68.58921162,566.889834,16.53,5,0.63
RZ-060E-05X,Gutekunst,0.24,2.386,68.875,569.251875,16.53,5,0.63
RZ-060EAI,Gutekunst,1.139,0.55,14.51273047,119.9477173,16.53,5,0.63
RZ-060EAX,Gutekunst,1.12,0.558,14.75892857,121.9825446,16.53,5,0.63
RZ-060EI,Gutekunst,0.14,3.166,106.2142857,789.7032143,14.87,5.6,0.63
RZ-060EX,Gutekunst,0.139,3.175,106.9784173,795.3845324,14.87,5.6,0.63
RZ-060I,Gutekunst,0.284,1.588,52.35915493,389.2903169,14.87,5.6,0.63
RZ-060X,Gutekunst,0.282,1.597,52.73049645,392.0512411,14.87,5.6,0.63
RZ-061I,Gutekunst,1.914,0.408,9.331243469,83.32800418,17.86,4.6,0.63
RZ-061X,Gutekunst,1.875,0.415,9.525333333,85.06122667,17.86,4.6,0.63
RZ-062I,Gutekunst,0.899,0.807,19.86651835,177.4080089,17.86,4.6,0.63
RZ-062X,Gutekunst,0.89,0.815,20.06741573,179.2020225,17.86,4.6,0.63
RZ-063AI,Gutekunst,0.474,1.484,37.67932489,336.4763713,17.86,4.6,0.63
RZ-063AX,Gutekunst,0.471,1.491,37.91932059,338.6195329,17.86,4.6,0.63
RZ-063BI,Gutekunst,0.412,1.699,43.34951456,387.111165,17.86,4.6,0.63
RZ-063BX,Gutekunst,0.41,1.706,43.56097561,388.9995122,17.86,4.6,0.63
RZ-063CI,Gutekunst,0.358,1.945,49.88826816,445.5022346,17.86,4.6,0.63
RZ-063CX,Gutekunst,0.357,1.952,50.0280112,446.7501401,17.86,4.6,0.63
RZ-063DI,Gutekunst,0.317,2.191,56.34069401,503.1223975,17.86,4.6,0.63
RZ-063DX,Gutekunst,0.316,2.198,56.51898734,504.714557,17.86,4.6,0.63
RZ-063E-10I,Gutekunst,0.209,1.267,55.16746411,318.0404306,11.53,10,0.7
RZ-063E-10X,Gutekunst,0.205,1.29,56.24390244,324.2460976,11.53,10,0.7
RZ-063E-11I,Gutekunst,0.072,3.401,160.1388889,923.2006944,11.53,10,0.7
RZ-063E-11X,Gutekunst,0.071,3.424,162.3943662,936.2035211,11.53,10,0.7
RZ-063E-12I,Gutekunst,0.037,6.424,311.6216216,1796.498649,11.53,10,0.7
RZ-063E-12X,Gutekunst,0.037,6.446,311.6216216,1796.498649,11.53,10,0.7
RZ-063E-13I,Gutekunst,0.031,7.668,371.9354839,2144.208065,11.53,10,0.7
RZ-063E-13X,Gutekunst,0.031,7.691,371.9354839,2144.208065,11.53,10,0.7
RZ-063E-14I,Gutekunst,0.024,9.802,480.4166667,2769.602083,11.53,10,0.7
RZ-063E-14X,Gutekunst,0.024,9.825,480.4166667,2769.602083,11.53,10,0.7
RZ-063E-20I,Gutekunst,0.111,2.245,103.8738739,598.8328829,11.53,10,0.7
RZ-063E-20X,Gutekunst,0.11,2.268,104.8181818,604.2768182,11.53,10,0.7
RZ-063E-22I,Gutekunst,0.054,4.468,213.5185185,1230.934259,11.53,10,0.7
RZ-063E-22X,Gutekunst,0.054,4.49,213.5185185,1230.934259,11.53,10,0.7
RZ-063EI,Gutekunst,0.284,2.437,62.88732394,561.5838028,17.86,4.6,0.63
RZ-063EX,Gutekunst,0.283,2.444,63.10954064,563.5681979,17.86,4.6,0.63
RZ-063I,Gutekunst,0.558,1.268,32.00716846,285.8240143,17.86,4.6,0.63
RZ-063X,Gutekunst,0.554,1.276,32.23826715,287.8877256,17.86,4.6,0.63
RZ-064I,Gutekunst,3.76,0.325,5.640957447,59.82235372,21.21,3.8,0.63
RZ-064X,Gutekunst,3.684,0.331,5.75732899,61.05647394,21.21,3.8,0.63
RZ-065I,Gutekunst,1.766,0.645,12.01019253,127.3680917,21.21,3.8,0.63
RZ-065X,Gutekunst,1.749,0.65,12.12692967,128.6060892,21.21,3.8,0.63
RZ-066AI,Gutekunst,0.93,1.185,22.80645161,241.8624194,21.21,3.8,0.63
RZ-066AX,Gutekunst,0.926,1.19,22.9049676,242.9071814,21.21,3.8,0.63
RZ-066BI,Gutekunst,0.809,1.356,26.21755253,278.0371446,21.21,3.8,0.63
RZ-066BX,Gutekunst,0.805,1.362,26.34782609,279.4186957,21.21,3.8,0.63
RZ-066CI,Gutekunst,0.704,1.553,30.12784091,319.5057528,21.21,3.8,0.63
RZ-066CX,Gutekunst,0.701,1.559,30.25677603,320.8731098,21.21,3.8,0.63
RZ-066DI,Gutekunst,0.623,1.749,34.04494382,361.0466292,21.21,3.8,0.63
RZ-066DX,Gutekunst,0.62,1.755,34.20967742,362.793629,21.21,3.8,0.63
RZ-066E-01I,Gutekunst,12.17,0.188,2.128184059,27.55998357,25.9,3,0.63
RZ-066E-01X,Gutekunst,11.839,0.193,2.187684771,28.33051778,25.9,3,0.63
RZ-066E-02I,Gutekunst,7.145,0.298,3.624912526,46.94261721,25.9,3,0.63
RZ-066E-02X,Gutekunst,7.022,0.303,3.688407861,47.7648818,25.9,3,0.63
