Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-024OX,Gutekunst,0.052,0.25,53.67307692,74.90077885,2.791,6,0.36
RZ-024PI,Gutekunst,0.033,0.374,84.57575758,118.0254697,2.791,6,0.36
RZ-024PX,Gutekunst,0.033,0.378,84.57575758,118.0254697,2.791,6,0.36
RZ-024QI,Gutekunst,0.021,0.588,132.9047619,185.4685952,2.791,6,0.36
RZ-024QX,Gutekunst,0.021,0.592,132.9047619,185.4685952,2.791,6,0.36
RZ-024RI,Gutekunst,0.014,0.874,199.3571429,278.2028929,2.791,6,0.36
RZ-024RX,Gutekunst,0.014,0.877,199.3571429,278.2028929,2.791,6,0.36
RZ-024SI,Gutekunst,0.554,0.067,7.4566787,15.40176986,4.131,4,0.36
RZ-024SX,Gutekunst,0.53,0.069,7.794339623,16.09920849,4.131,4,0.36
RZ-024TI,Gutekunst,0.321,0.103,12.86915888,26.58124766,4.131,4,0.36
RZ-024TX,Gutekunst,0.313,0.106,13.19808307,27.26064058,4.131,4,0.36
RZ-024UI,Gutekunst,0.197,0.159,20.96954315,43.31259137,4.131,4,0.36
RZ-024UX,Gutekunst,0.194,0.161,21.29381443,43.98237371,4.131,4,0.36
RZ-024VI,Gutekunst,0.124,0.242,33.31451613,68.81113306,4.131,4,0.36
RZ-024VX,Gutekunst,0.123,0.244,33.58536585,69.37057317,4.131,4,0.36
RZ-024WI,Gutekunst,0.077,0.38,53.64935065,110.8127338,4.131,4,0.36
RZ-024WX,Gutekunst,0.077,0.382,53.64935065,110.8127338,4.131,4,0.36
RZ-024X,Gutekunst,0.148,0.207,27.77702703,57.09567905,4.111,2.82,0.32
RZ-024XI,Gutekunst,0.051,0.564,81,167.3055,4.131,4,0.36
RZ-024XX,Gutekunst,0.051,0.566,81,167.3055,4.131,4,0.36
RZ-024YI,Gutekunst,2.727,0.039,2.354602127,7.559450128,6.421,2.5,0.36
RZ-024YX,Gutekunst,2.608,0.041,2.462039877,7.904379026,6.421,2.5,0.36
RZ-024ZI,Gutekunst,1.579,0.061,4.066497783,13.05549113,6.421,2.5,0.36
RZ-024ZX,Gutekunst,1.538,0.062,4.174902471,13.40352438,6.421,2.5,0.36
RZ-025AI,Gutekunst,0.211,0.16,19.86255924,41.62199289,4.191,5.4,0.4
RZ-025AX,Gutekunst,0.205,0.164,20.44390244,42.84019756,4.191,5.4,0.4
RZ-025I,Gutekunst,0.156,0.207,26.86538462,56.29641346,4.191,5.4,0.4
RZ-025X,Gutekunst,0.153,0.211,27.39215686,57.40026471,4.191,5.4,0.4
RZ-026I,Gutekunst,0.073,0.41,57.4109589,120.3046644,4.191,5.4,0.4
RZ-026X,Gutekunst,0.072,0.414,58.20833333,121.9755625,4.191,5.4,0.4
RZ-027AI,Gutekunst,0.034,0.862,123.2647059,258.3011912,4.191,5.4,0.4
RZ-027AX,Gutekunst,0.033,0.866,127,266.1285,4.191,5.4,0.4
RZ-027CI,Gutekunst,0.412,0.128,12.38106796,31.57791383,5.101,4.4,0.4
RZ-027CX,Gutekunst,0.4,0.131,12.7525,32.52525125,5.101,4.4,0.4
RZ-027I,Gutekunst,0.045,0.644,93.13333333,195.1609,4.191,5.4,0.4
RZ-027X,Gutekunst,0.045,0.648,93.13333333,195.1609,4.191,5.4,0.4
RZ-028I,Gutekunst,0.304,0.165,16.77960526,42.79638322,5.101,4.4,0.4
RZ-028X,Gutekunst,0.298,0.169,17.11744966,43.65805537,5.101,4.4,0.4
RZ-029I,Gutekunst,0.143,0.328,35.67132867,90.97972378,5.101,4.4,0.4
RZ-029X,Gutekunst,0.141,0.331,36.17730496,92.27021631,5.101,4.4,0.4
